214;##########Tabulka F112_crcash_flow2011
0;uce;crs
1;041;28
1;042;29
1;043;30
1;132;2
1;311;1
1;315;1
1;321;2
1;324;1
1;331;7
1;336;7
1;341;23
1;342;23
1;343;8
1;365;64
1;366;7
1;379;2
1;381;16
1;395;2
1;461;62
1;501;5
1;502;5
1;503;5
1;504;2
1;511;6
1;512;6
1;513;6
1;514;6
1;515;6
1;516;6
1;517;6
1;518;6
1;521;7
1;522;7
1;524;7
1;525;7
1;526;7
1;527;7
1;528;7
1;531;8
1;532;8
1;538;8
1;562;19
1;568;16
1;591;23
1;601;3
1;602;4
1;604;1
1;641;30
1;644;15
1;645;15
1;646;15
1;647;15
1;648;15
1;661;9
1;662;18
1;665;32
