215;##########Tabulka F83_uctdrdp
0;rdp;nrd;szd;crz;crd;crz1;crd1;crz2;crd2;crz3;crd3;rxx
1;27;Daò na vstupe  TUZEMSKO DPH20% paušál;20;0;100;0;;;;0;B2;
1;32;Dan na vstupe DOVOZ EU20%tovar, služby §69ods.2,9-12;20;9;21;0;;;;1;B1;
1;82;Dan na vstupe DOVOZ EU20%tovar, služby §69ods.2,9-12;20;0;10;0;;;;1;;
1;227;Daò na vstupe 20% opravná faktúra neuplatnená;20;0;100;0;;;;0;C2;
1;328;Daò na vstupe EU DPH20% paušál;20;0;100;0;;;;0;B1;
1;337;Daò na vstupe  EU samozd. + paušál;20;0;21;0;0;;;0;B1;
1;371;Daò na výstupe 0% príjemca=platite¾ §69 ods. 12 písm.j;0;0;0;0;;;;0;A2;
1;387;Daò na výstupe EU samozd. + paušál;20;7;8;0;0;;;0;;
1;471;Daò na výstupe opravná faktúra 0% príjemca=platite¾ §69 ods. 12 písm.j;0;0;0;0;;;;0;C1;

